Brand,Brand_Style,ABV,Calories,Fat_grams,Calories_from_fat,Saturated_fat_grams,Trans_fat_grams,Cholesterol_mg,Sodium_mg,Carbs_mg,Fiber_grams,Sugars_grams,Protein_grams,Ingredients
Keystone Light,American-Style Light Lager,4.1,101,0,0,0,0,0,5,4.7,0,1,< 1.0,"Water, Barley Malt, Corn Syrup (Dextrose), Yeast, Hop Extract"
Keystone Premium,American-Style Lager,4.4,108,0,0,0,0,0,10,5,0,2,< 1.0,"Water, Barley Malt, Corn Syrup (Dextrose), Yeast, Hop Extract"
Keystone V9,American-Style Ice Lager,5.9,145,0,0,0,0,0,10,6.9,0,1,1,"Water, Barley Malt, Corn Syrup (Dextrose), Yeast, Hop Extract"
Lech,International Pale Lager,4.8,146,0,0,0,0,0,10,9.9,0,0,2.1,"Water, Barley Malt, Yeast,Hops & Hop Extract"
Leinenkugel's Berry Shandy,Shandy,4.2,160,0,0,0,0,0,10,18.2,0,8,1.4,"Water, Barley Malt, Wheat, Yeast, Corn Syrup (Maltose), Hops, Blackberry Juice, Sucrose, Honey, Natural Flavors,Citric Acid"
Leinenkugel's Berry Weiss,Fruit Wheat,4.7,202,0,0,0,0,0,10,26.8,0,15,1.2,"Water, Barley Malt, Wheat, Yeast,Corn Syrup (Maltose), Hops, Blackberry Juice, Sucrose, Honey, Natural Flavors, Citric Acid"
Leinenkugel's Canoe Paddle Kölsch,Kölsch Style,5,152,0,0,0,0,0,15,12.4,0,0,1.5,"Water, Barley Malt, Rye,Corn Syrup (Maltose), Yeast, Hops"
Leinenkugel's Cherry Blonde Lager,Fruit Blonde Lager,5.2,158,0,0,0,0,0,15,13.2,0,2,1.1,"Water, Barley Malt, Oats, Corn Syrup (Maltose), Hops, Cherry Juice Concentrate, White Cranberry  Juice Concentrate, Yeast, Natural Flavor"
Leinenkugel's Cranberry Ginger Shandy ,Shandy,4.2,158,0,0,0,0,0,45,18.1,0,7,1.2,"Water, Barley Malt, Wheat, Corn Syrup (Maltose), Yeast, Sucrose, Hops, Honey, Citric Acid, Natural Flavors"
Leinenkugel's Creamy Dark,American Dark Lager,4.9,170,0,0,0,0,0,20,17.6,0,0,1.4,"Water, Barley Malt, Corn, Corn Syrup (Maltose), Oats, Wheat, Yeast, Hops"
Leinenkugel's Grapefruit Shandy,Shandy,4.2,146,0,0,0,0,0,10,15.1,0,5,1.2,"Water, Barley Malt, Wheat,Corn Syrup (Maltose), Yeast, Sucrose, Hops, Honey, Citric Acid, Natural Flavor"
