Brand,Brand_Style,ABV,Calories,Fat_grams,Calories_from_fat,Saturated_fat_grams,Trans_fat_grams,Cholesterol_mg,Sodium_mg,Carbs_mg,Fiber_grams,Sugars_grams,Protein_grams,Ingredients
Sparks Blackberry,Flavored Malt Beverage,8,287,0,0,0,0,0,30,32.9,0,27,< 1.0,"Water, Corn Syrup (Dextrose), Barley Malt, Yeast, Hop Extract, Sucrose, Citric Acid, Natural &Artificial Flavors, Certified Colors, Sodium Citrate, Sodium Benzoate & Potassium Sorbate (added for freshness)"
Steel Reserve BLK Berry,Flavored Malt Beverage,8,287,0,0,0,0,0,40,32.9,0,28,< 1.0,"Water, Corn Syrup (Dextrose), Barley Malt, Yeast, Hop Extract, Sucrose, Citric Acid, Natural & Artificial Flavors, Certified Colors, Sodium Citrate, Sodium Benzoate & Potassium Sorbate"
Steel Reserve Hard Pineapple,Flavored Malt Beverage,8,286,0,0,0,0,0,55,32.7,0,28,< 1.0,"Water, Corn Syrup (Dextrose), Barley Malt, Yeast, Hop Extract, Sucrose, Citric Acid, Malic Acid, Sodium Citrate, NaturalFlavors, FD&C Yellow# 5, Sodium Benzoate & Potassium Sorbate (added for freshness)"
Steel Reserve High Gravity,American-Style Specialty Lager,8.1,222,0,0,0,0,0,15,14.9,0,1,1.5,"Water, Barley Malt,Corn Syrup (Dextrose, Maltose), Yeast, Hop Extract"
Steel Reserve High Gravity 6.0,American-Style Specialty Lager,6,164,0,0,0,0,0,10,10.9,0,1,1.1,"Water, Barley Malt,Corn Syrup (Dextrose, Maltose), Yeast, Hop Extract"
Steel Reserve Spiked Blue Razz,Flavored Malt Beverage,8,287,0,0,0,0,0,35,33,0,30,< 1.0,"Water, Corn Syrup (Dextrose), Barley Malt, Yeast, Hop Extract, Sucrose, Citric Acid, Sodium Citrate, Natural &Artificial Flavors, Certified Color, Sodium Benzoate & Potassium Sorbate (added for freshness)"
Steel Reserve Spiked Punch,Flavored Malt Beverage,8,285,0,0,0,0,0,40,32.5,0,27,< 1.0,"Water, Corn Syrup (Dextrose), Barley Malt, Yeast, Hop Extract, Sucrose, Citric Acid, Sodium Citrate, Artificial Flavors, Certified Colors, Sodium Benzoate & Potassium Sorbate (added for freshness)"
Steel Reserve Spiked Strawberry Burst,Flavored Malt Beverage,8,290,0,0,0,0,0,30,33.3,0,27,< 1.0,"Water, Corn Syrup (Dextrose), Barley Malt, Yeast, Hop Extract, Sucrose, Citric Acid, Sodium Citrate, Natural Flavors, Certified Colors, Sodium Benzoate and Potassium Sorbate (added for freshness)"
Steel Reserve Spiked Tropic Storm,Flavored Malt Beverage,8,287,0,0,0,0,0,30,32.7,0,28,< 1,"Water, Corn Syrup (Dextrose), Barley Malt, Yeast, Hop Extract, Sucrose, Citric Acid, Malic Acid, Sodium Citrate, Natural Flavors, Certified Color, FD&C Yellow #5, Sodium Benzoate & Potassium Sorbate (added for freshness)"
Steel Reserve Spiked Watermelon,Flavored Malt Beverage,8,285,0,0,0,0,0,100,32.5,0,29,< 1.0,"Water, Corn Syrup (Dextrose), Barley Malt, Yeast, Hop Extract, Sucrose, Citric Acid, Malic Acid, Sodium Citrate, Artificial Flavor, Certified Colors, Sodium Benzoate & Potassium Sorbate (added for freshness)"
Steel Reserve Triple Export 8.1%,American-StyleSpecialty Lager,8.1,222,0,0,0,0,0,15,14.9,0,1,1.5,"Water, Barley Malt, Corn Syrup (Dextrose), Yeast, Hop Extract"
Terrapin Beerista,Barrel-Aged Stout,11.2,377,0,0,0,0,0,10,40.5,0,9,0,"Malted Barley, Oats, Lactose, Hops, Yeast, Water"
Terrapin Beyond the Galaxy IPA,IPA,6.3,205,0,0,0,0,0,5,17.4,0,3,1.9,"Water, Barley Malt, Wheat, Yeast, Hops"
Terrapin Chopsecutioner,IPA,5,157,0,0,0,0,0,10,12.4,0,0,1.4,"Water, Barley Malt, Wheat, Yeast, Hops"
Terrapin Frenchy's Blues,Berliner Weisse,5.2,153,0,0,0,0,0,5,10,TBD,0,2.1,"Malt, Wheat, Hops, Blueberry Concentrate"
Terrapin Golden Ale,Blonde Ale,4.6,135,0,0,0,0,0,5,9.3,0,0,1.4,"Water, Barley Malt, Wheat, Yeast, Hops"
Terrapin Good To Gose,Gose,4.5,139,0,0,0,0,0,95,11.3,0,0,1.7,"Water, Barley Malt, Yeast,Malted Wheat, Torrified Wheat, Hops, Lactobacillus, Sea Salt, Coriander, Grapefruit Peel, Natural Flavor"
Terrapin HI-5 IPA,California Style IPA,5.9,189,0,0,0,0,0,10,16,0,1,1.8,"Water, Barley Malt, Yeast, Hops"
Terrapin Hoppin' Bubbly,Brut IPA,6.5,171,0,0,0,0,0,5,7.7,0,0,2.2,"Water, Malted Barley, Flaked Corn, Flaked Rye, Lactic Acid, Hops, Yeast"
Terrapin Hopsecutioner,IPA,7.3,211,0,0,0,0,0,15,15.4,0,0,2.1,"Water, Barley Malt, Yeast, Hops"
Terrapin Jazz Cabbage,Hemp IPA,6,191,0,0,0,0,0,5,14,0,1,2.1,"Water, Barley Malt, Wheat, Hemp Flavor, Hemp Seeds, Hops, Yeast"
Terrapin Luau Krunkles,IPA,6.5,200,0,0,0,0,0,15,14.9,0,2,2.4,"Water, Barley Malt, Malted Wheat, Hops, Natural Flavors"
Terrapin Moo-Hoo Chocolate Milk Stout,Chocolate Milk Stout,6.1,225,0,0,0,0,0,15,25.3,2,9,2.1,"Water, Barley Malt, Oats, Cocoa Nibs, Lactose, Vanilla Extract, Chocolate Extract, Yeast, Hops"
Terrapin Mr. Krunkles,IPA,6.5,216,0,0,0,0,0,5,18.8,0,2,1.9,"Water, Barley Malt, Wheat, Hops, Yeast"
Terrapin Panama Krunkles,IPA,6.5,212,0,0,0,0,0,10,18.1,TBD,3,2.1,"Water, Barley Malt, Wheat, Pineapple Extract, Papaya Extract, Hops, Yeast"
Terrapin Peach Dreamsicle,IPA,7.9,274,0,0,0,0,0,10,27.4,TBD,7,1.9,"Malt, Wheat, Flaked Oats, Peach Flavor, Vanilla Extract, Peach Concentrate, Lactose, Hops"
Terrapin Recreation Ale,Session IPA,4.7,149,0,0,0,0,0,5,12.7,0,0,1.4,"Water, Barley Malt, Yeast, Hops"
Terrapin Señor Krunkles,IPA,6.5,219,0,0,0,0,0,5,19.6,0,1,2.3,"Water, Barley Malt, Wheat, Prickly Pear Flavor, Hops, Agave Nectar Syrup, Yeast"
Terrapin So Fresh So Green Fresh Hop IPA,IPA,6.6,205,0,0,0,0,0,10,16.2,0,1,2.3,"Water, Barley Malt, Yeast, Hops"
Terrapin Sound Czech Pils,Czech Pilsner,5.2,151,0,0,0,0,0,10,10.3,0,0,1.5,"Water, Barley Malt, Yeast, Hops"
Terrapin Wake-N-Bake Coffee Oatmeal Imperial Stout,Coffee Oatmeal Imperial Stout,9.4,302,0,0,0,0,0,10,26.3,3,0,2.6,"Water, Barley, Oats, Dextrose, Coffee, Yeast, Hops"
Terrapin Watermelon Gose,Gose,4.5,141,0,0,0,0,0,115,10.5,0,1,2,"Water, Barley Malt, Yeast, Malted Wheat, TorrifiedWheat, Hops, Lactobacillus, Watermelon Concentrate, Natural Flavor"
Tusk & Grain Barrel Aged Blend,Stout,12.5,353,0,0,0,0,0,20,26.6,0,0,2.6,"Water, Barley Malt, Yeast, Hops"
Tyskie,International Pale Lager,5,153,0,0,0,0,0,10,11.4,0,0,2.1,"Water, Barley Malt, Yeast, Hops & Hop Extract"
Vizzy Black Cherry Lime,Hard Seltzer,5,100,0,0,0,0,0,30,2,0,1,0,"Sparkling Water, Cane Sugar, Natural Flavors, Cherry Juice Concentrate, Citric Acid, Sodium Citrate and Dried Acerola Cherry Juice"
VizzyBlueberry Pomegranate,Hard Seltzer,5,100,0,0,0,0,0,35,2,0,1,0,"Sparkling Water, Cane Sugar, Natural Flavor, Pomegranate Juice Concentrate, Citric Acid, Sodium Citrate and Dried Acerola Cherry Juice"
Vizzy Strawberry Kiwi,Hard Seltzer,5,100,0,0,0,0,0,30,2,0,1,0,"Sparkling Water, Cane Sugar, Natural Flavor, Kiwi Juice Concentrate, Citric acid, Sodium Citrate and Dried Acerola Cherry Juice"
Vizzy Pineapple Mango,Hard Seltzer,5,100,0,0,0,0,0,30,2,0,1,0,"Sparkling Water, Cane Sugar, Natural flavor, Pineapple Juice Concentrate, Citric Acid, Sodium Citrate and Dried Acerola Cherry Juice"
